,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,province,region
16820,8200,APARTMENT,DUPLEX,339000,2,90,1,0,0,1,9.0,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
16822,7110,HOUSE,HOUSE,129800,2,110,1,0,0,1,10.0,1,76.0,160.0,2,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
16823,6800,HOUSE,APARTMENT_BLOCK,295000,5,460,1,0,0,1,10.0,0,None,321.0,2,0,TO_BE_DONE_UP,Luxembourg,Region Wallonne
16824,4000,HOUSE,TOWN_HOUSE,249000,2,120,1,1,0,1,10.0,1,23.0,112.0,2,1,GOOD,,Region Wallonne
16825,1380,HOUSE,EXCEPTIONAL_PROPERTY,1395000,5,500,1,0,0,1,68.0,0,None,17992.0,4,1,TO_RENOVATE,Brabant_Wallon,Region Wallonne
16826,4430,HOUSE,HOUSE,269000,3,337,0,0,0,0,None,0,None,0.0,2,0,GOOD,Liege,Region Wallonne
16827,1435,HOUSE,VILLA,425000,5,156,1,0,0,1,None,0,None,761.0,4,0,GOOD,Brabant_Wallon,Region Wallonne
16828,8810,HOUSE,HOUSE,322000,4,212,1,0,0,0,None,0,None,290.0,3,0,AS_NEW,Flandre-Occidentale,Region Flamande
16830,1500,HOUSE,HOUSE,285000,2,173,0,0,0,0,None,0,None,100.0,2,0,any_information,,Region Wallonne
16831,8380,APARTMENT,APARTMENT,329000,2,92,1,0,0,1,None,0,None,0.0,0,0,any_information,Flandre-Occidentale,Region Flamande
16832,7500,HOUSE,VILLA,890000,5,469,1,0,0,1,None,0,None,2457.0,4,1,GOOD,Hainaut,Region Wallonne
16834,2820,HOUSE,HOUSE,372000,5,270,1,0,0,1,None,0,None,555.0,4,0,TO_RENOVATE,Anvers,Region Flamande
16835,9420,HOUSE,HOUSE,370000,3,200,1,0,0,0,None,1,None,275.0,3,0,any_information,Flandre-Orientale,Region Flamande
16836,6920,APARTMENT,APARTMENT,215000,3,107,1,0,0,1,12.0,0,None,0.0,3,0,GOOD,Luxembourg,Region Wallonne
16837,1440,HOUSE,VILLA,750000,3,228,1,0,0,1,38.0,1,None,1914.0,0,1,GOOD,Brabant_Wallon,Region Wallonne
16838,1050,APARTMENT,PENTHOUSE,1100000,3,130,1,0,0,1,51.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
16839,4682,APARTMENT,APARTMENT,270000,1,100,1,0,0,1,18.0,0,None,0.0,4,0,AS_NEW,Liege,Region Wallonne
16841,3140,APARTMENT,APARTMENT,549000,3,214,1,0,0,1,78.0,0,None,0.0,4,0,AS_NEW,Brabant_Flamand,Region Flamande
16842,6780,HOUSE,HOUSE,460000,4,219,1,0,0,0,None,0,None,3980.0,4,0,GOOD,Luxembourg,Region Wallonne
16843,1200,APARTMENT,APARTMENT,250000,1,55,1,0,0,1,3.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
16844,1030,APARTMENT,APARTMENT,149000,1,50,1,0,0,0,None,0,None,0.0,2,0,any_information,Bruxelles,Bruxelles-capitale
16845,9400,APARTMENT,APARTMENT,237315,2,75,1,0,0,1,17.0,1,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
16846,1060,APARTMENT,FLAT_STUDIO,220000,0,55,0,0,0,1,4.0,0,None,0.0,2,0,TO_RENOVATE,Bruxelles,Bruxelles-capitale
16847,6200,HOUSE,HOUSE,159500,3,152,1,0,0,1,None,0,None,0.0,3,0,GOOD,Hainaut,Region Wallonne
16848,8400,APARTMENT,APARTMENT,185000,3,92,1,0,0,0,None,0,None,0.0,2,0,GOOD,Flandre-Occidentale,Region Flamande
16849,9200,APARTMENT,APARTMENT,205000,2,96,1,0,0,1,18.0,0,None,0.0,2,0,any_information,Flandre-Orientale,Region Flamande
16850,9190,APARTMENT,APARTMENT,239000,2,104,1,0,0,1,4.0,0,None,0.0,0,0,any_information,Flandre-Orientale,Region Flamande
16851,1082,APARTMENT,GROUND_FLOOR,445000,3,133,1,0,0,1,115.0,1,200.0,0.0,2,0,GOOD,Bruxelles,Bruxelles-capitale
16852,2000,APARTMENT,APARTMENT,1885000,3,317,1,0,0,1,83.0,0,None,0.0,0,0,AS_NEW,,Region Wallonne
16853,8301,APARTMENT,APARTMENT,430000,2,84,1,0,0,0,None,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
