,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8218,2060,APARTMENT,APARTMENT,275000,2,96,1,0,0,1,6,0,,,2,0,AS_NEW
8220,8500,HOUSE,HOUSE,369000,4,210,0,0,0,0,,1,,165,,0,
8222,6061,APARTMENT,APARTMENT,159000,2,68,1,0,0,0,,0,,,3,0,AS_NEW
8224,8501,HOUSE,HOUSE,310700,3,119,1,0,0,0,,0,,362,3,0,GOOD
8226,8647,HOUSE,HOUSE,395000,5,289,1,0,0,1,,1,,10184,,0,AS_NEW
8228,3370,HOUSE,HOUSE,285000,3,189,1,0,0,0,,0,,257,3,0,TO_RENOVATE
8230,1640,HOUSE,APARTMENT_BLOCK,649000,7,280,1,0,0,0,,0,,805,2,0,GOOD
8232,6060,HOUSE,MIXED_USE_BUILDING,79000,1,60,0,0,0,0,,0,,0,2,0,GOOD
8234,9700,HOUSE,HOUSE,336416,3,120,1,0,0,0,,1,,466,3,0,
8236,1850,HOUSE,VILLA,320000,2,,0,0,0,0,,0,,1137,,0,
8238,7500,APARTMENT,APARTMENT,105000,1,72,0,0,0,0,,0,,,,0,
8240,8780,HOUSE,HOUSE,276700,3,126,0,0,0,0,,0,,284,3,0,AS_NEW
8242,1200,APARTMENT,APARTMENT,420000,3,125,1,0,0,1,8,0,,,2,0,
8244,9500,HOUSE,HOUSE,295000,3,200,1,0,0,1,40,1,300,465,3,0,AS_NEW
8246,7130,APARTMENT,LOFT,187500,1,200,1,0,0,1,,0,,,2,0,AS_NEW
8248,2018,APARTMENT,APARTMENT,235000,2,79,0,0,0,1,5,0,,,,0,AS_NEW
8250,6230,HOUSE,HOUSE,229000,2,168,1,0,0,1,30,1,820,960,3,0,GOOD
8252,9700,HOUSE,HOUSE,210000,2,114,1,0,0,0,,1,,273,2,0,TO_BE_DONE_UP
8254,6750,HOUSE,HOUSE,175000,4,160,0,0,0,0,,1,300,408,4,0,
8256,9300,APARTMENT,APARTMENT,289000,2,104,1,0,0,1,34,0,,,2,0,
8258,1090,HOUSE,HOUSE,610000,4,,1,0,0,1,,1,120,254,2,0,GOOD
8260,4500,HOUSE,HOUSE,179000,5,184,1,0,0,1,20,0,,107,2,0,GOOD
8262,8480,HOUSE,MIXED_USE_BUILDING,389000,7,584,1,0,0,0,,0,,977,3,0,GOOD
8264,3000,APARTMENT,APARTMENT,300000,2,70,1,0,0,0,,0,,,,0,GOOD
8266,9310,APARTMENT,APARTMENT,301000,2,116,1,0,0,1,,0,,,,0,AS_NEW
8268,1410,HOUSE,VILLA,2295000,6,900,1,0,0,1,,1,5000,5300,4,1,AS_NEW
8270,8200,APARTMENT,APARTMENT,245000,2,104,1,0,0,0,,0,,,,0,AS_NEW
8272,9230,HOUSE,HOUSE,229000,3,169,0,1,1,0,,0,,100,,0,
8274,4970,HOUSE,HOUSE,170000,2,146,0,0,0,1,,0,,1932,4,0,TO_BE_DONE_UP
8276,9200,HOUSE,HOUSE,435000,4,212,1,0,0,0,,0,,665,,0,AS_NEW
8278,5060,HOUSE,HOUSE,89000,3,,0,0,0,0,,0,,0,2,0,
8280,5310,APARTMENT,DUPLEX,150000,2,75,1,0,0,0,,0,,,3,0,AS_NEW
8282,8300,HOUSE,VILLA,2200000,3,246,0,1,0,1,,0,,386,3,0,AS_NEW
8284,4420,HOUSE,HOUSE,72500,2,95,0,0,0,1,25,1,125,255,4,0,TO_RENOVATE
8286,8430,APARTMENT,APARTMENT,272000,2,62,1,0,0,0,,1,,,2,0,GOOD
8288,9255,APARTMENT,APARTMENT,264000,2,96,0,0,0,1,,1,,,,0,AS_NEW
8290,6220,APARTMENT,PENTHOUSE,269000,2,117,1,0,0,1,,0,,,3,0,
8292,1081,APARTMENT,APARTMENT,170000,2,85,0,0,0,1,4,0,,,2,0,TO_RENOVATE
8294,4800,HOUSE,MIXED_USE_BUILDING,119000,4,150,1,0,0,0,,0,,0,2,0,GOOD
8296,1500,APARTMENT,APARTMENT,199000,1,57,0,0,0,0,,0,,,,0,
8298,6200,HOUSE,HOUSE,238000,3,183,1,0,0,1,20,1,100,163,2,0,JUST_RENOVATED
8300,4140,HOUSE,VILLA,349000,4,180,1,0,0,1,38,1,2900,3100,4,0,
8302,8820,HOUSE,HOUSE,489000,4,270,1,0,0,1,,1,,2800,4,0,JUST_RENOVATED
8304,2960,HOUSE,HOUSE,595000,5,259,1,0,1,1,40,1,952,1188,4,0,JUST_RENOVATED
8306,8750,APARTMENT,APARTMENT,235000,2,88,0,0,0,1,21,0,,,2,0,
8308,1081,APARTMENT,APARTMENT,359000,2,124,1,0,0,1,,0,,,2,0,AS_NEW
8310,3080,HOUSE,VILLA,1250000,5,327,1,0,0,1,36,0,,9650,4,0,AS_NEW
8312,9000,APARTMENT,APARTMENT,448000,3,140,1,0,0,1,14,0,,,,0,AS_NEW
8314,1070,APARTMENT,APARTMENT,325000,2,92,1,0,0,1,24,0,,,4,0,
8316,9991,HOUSE,HOUSE,229000,2,100,1,0,0,0,,1,,635,,0,TO_BE_DONE_UP
8318,1120,APARTMENT,APARTMENT,194000,2,70,1,0,0,1,2,0,,,2,0,
8320,9600,HOUSE,COUNTRY_COTTAGE,379000,3,,0,0,0,1,,0,,2039,,0,AS_NEW
8322,1000,APARTMENT,APARTMENT,315000,2,100,1,0,0,1,14,0,,,,0,AS_NEW
8324,7011,HOUSE,HOUSE,165000,2,110,1,0,0,1,16,1,80,174,2,0,
8326,1933,APARTMENT,DUPLEX,477500,3,127,1,0,0,1,29,0,,,2,0,AS_NEW
8328,8300,APARTMENT,APARTMENT,310000,1,,0,0,0,0,,0,,,,0,AS_NEW
8330,1420,HOUSE,HOUSE,475000,3,330,1,0,0,1,,0,,0,,0,GOOD
8332,1190,APARTMENT,GROUND_FLOOR,455000,2,90,0,0,0,1,30,0,,,2,0,AS_NEW
8334,3870,HOUSE,HOUSE,199000,3,161,1,0,0,0,,1,,436,2,0,
8336,8660,HOUSE,HOUSE,355000,1,60,1,0,0,0,,1,4,60,4,0,AS_NEW
8338,1500,APARTMENT,APARTMENT,271500,2,95,0,0,0,0,,0,,,,0,
8340,7804,HOUSE,COUNTRY_COTTAGE,675000,7,650,1,1,1,1,,0,,1500,3,0,AS_NEW
8342,3390,HOUSE,HOUSE,388000,3,160,0,0,0,0,,1,,650,,0,
8344,1400,APARTMENT,APARTMENT,269000,2,78,1,0,0,1,14,0,,,3,0,AS_NEW
8346,1060,APARTMENT,LOFT,400000,3,162,1,0,0,1,12,0,,,2,0,AS_NEW
8348,6230,HOUSE,HOUSE,299900,3,210,1,0,0,1,35,1,1000,1334,3,0,GOOD
8350,5020,HOUSE,VILLA,465000,4,219,1,0,0,1,50,1,,693,4,0,AS_NEW
8352,8670,APARTMENT,APARTMENT,268000,2,88,1,0,0,1,7,0,,,,0,AS_NEW
8354,8790,APARTMENT,APARTMENT,249376,2,99,0,0,0,1,11,1,,,,0,
8356,8300,APARTMENT,APARTMENT,398000,2,88,0,0,1,1,,0,,,,0,
8358,1000,HOUSE,APARTMENT_BLOCK,830000,4,250,0,1,0,0,,0,,0,2,0,GOOD
8360,1160,APARTMENT,APARTMENT,340000,2,80,1,0,0,1,7,0,,,2,0,AS_NEW
8362,1040,HOUSE,MIXED_USE_BUILDING,1100000,4,,0,0,0,0,,0,,1,2,0,GOOD
8364,2870,APARTMENT,APARTMENT,349000,2,116,0,0,0,1,,1,,,,0,
8366,1348,APARTMENT,APARTMENT,450000,3,116,1,0,0,1,,0,,,,0,AS_NEW
8368,2350,HOUSE,HOUSE,1090000,4,350,1,0,0,1,,1,2600,2600,4,0,GOOD
